Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,col,iptg,sal,dnaseI,growth,weight,lysate_vol,dilution,rep,ChanStr
sybr,50,191,0.05305555555555556,B10,7079,AFU,487,528,JS006,1,0,0,0,1,190,570,10,2,sybr50487528
sybr,50,191,0.05305555555555556,B11,6800,AFU,487,528,JS006,1,0,0,1,1,190,570,10,2,sybr50487528
sybr,50,191,0.05305555555555556,B12,6526,AFU,487,528,JS006,1,0,0,2,1,190,570,10,2,sybr50487528
sybr,50,191,0.05305555555555556,C1,7093,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,3,sybr50487528
sybr,50,191,0.05305555555555556,C2,6905,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,3,sybr50487528
sybr,50,191,0.05305555555555556,C3,7049,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,3,sybr50487528
sybr,50,191,0.05305555555555556,C4,7155,AFU,487,528,split pir 2x bxb1,1,0,0,0,1,180,540,10,3,sybr50487528
sybr,50,191,0.05305555555555556,C5,7004,AFU,487,528,split pir 2x bxb1,2,0,0,0,1,180,540,10,3,sybr50487528
sybr,50,191,0.05305555555555556,C6,7327,AFU,487,528,split pir 2x bxb1,3,0,0,0,1,190,570,10,3,sybr50487528
sybr,50,191,0.05305555555555556,C7,7130,AFU,487,528,split pir 2x bxb1,1,10,20,0,2,80,240,10,3,sybr50487528
sybr,50,191,0.05305555555555556,C8,6501,AFU,487,528,split pir 2x bxb1,2,10,20,0,2,170,510,10,3,sybr50487528
sybr,50,191,0.05305555555555556,C9,7116,AFU,487,528,split pir 2x bxb1,3,10,20,0,2,50,150,10,3,sybr50487528
sybr,50,191,0.05305555555555556,C10,7019,AFU,487,528,JS006,1,0,0,0,1,190,570,10,3,sybr50487528
sybr,50,191,0.05305555555555556,C11,6755,AFU,487,528,JS006,1,0,0,1,1,190,570,10,3,sybr50487528
sybr,50,191,0.05305555555555556,C12,6388,AFU,487,528,JS006,1,0,0,2,1,190,570,10,3,sybr50487528
sybr,50,251,0.06972222222222223,A1,6756,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,1,sybr50487528
sybr,50,251,0.06972222222222223,A2,6667,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,1,sybr50487528
sybr,50,251,0.06972222222222223,A3,6921,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,1,sybr50487528
sybr,50,251,0.06972222222222223,A4,7165,AFU,487,528,split pir 2x bxb1,1,0,0,0,1,180,540,10,1,sybr50487528
sybr,50,251,0.06972222222222223,A5,6981,AFU,487,528,split pir 2x bxb1,2,0,0,0,1,180,540,10,1,sybr50487528
sybr,50,251,0.06972222222222223,A6,7282,AFU,487,528,split pir 2x bxb1,3,0,0,0,1,190,570,10,1,sybr50487528
sybr,50,251,0.06972222222222223,A7,7035,AFU,487,528,split pir 2x bxb1,1,10,20,0,2,80,240,10,1,sybr50487528
sybr,50,251,0.06972222222222223,A8,6575,AFU,487,528,split pir 2x bxb1,2,10,20,0,2,170,510,10,1,sybr50487528
sybr,50,251,0.06972222222222223,A9,7079,AFU,487,528,split pir 2x bxb1,3,10,20,0,2,50,150,10,1,sybr50487528
sybr,50,251,0.06972222222222223,A10,6970,AFU,487,528,JS006,1,0,0,0,1,190,570,10,1,sybr50487528
sybr,50,251,0.06972222222222223,A11,6652,AFU,487,528,JS006,1,0,0,1,1,190,570,10,1,sybr50487528
sybr,50,251,0.06972222222222223,A12,6362,AFU,487,528,JS006,1,0,0,2,1,190,570,10,1,sybr50487528
sybr,50,251,0.06972222222222223,B1,7086,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,2,sybr50487528
sybr,50,251,0.06972222222222223,B2,6945,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,2,sybr50487528
sybr,50,251,0.06972222222222223,B3,7228,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,2,sybr50487528
sybr,50,251,0.06972222222222223,B4,7163,AFU,487,528,split pir 2x bxb1,1,0,0,0,1,180,540,10,2,sybr50487528
sybr,50,251,0.06972222222222223,B5,7011,AFU,487,528,split pir 2x bxb1,2,0,0,0,1,180,540,10,2,sybr50487528
sybr,50,251,0.06972222222222223,B6,7228,AFU,487,528,split pir 2x bxb1,3,0,0,0,1,190,570,10,2,sybr50487528
sybr,50,251,0.06972222222222223,B7,7156,AFU,487,528,split pir 2x bxb1,1,10,20,0,2,80,240,10,2,sybr50487528
sybr,50,251,0.06972222222222223,B8,6604,AFU,487,528,split pir 2x bxb1,2,10,20,0,2,170,510,10,2,sybr50487528
sybr,50,251,0.06972222222222223,B9,7051,AFU,487,528,split pir 2x bxb1,3,10,20,0,2,50,150,10,2,sybr50487528
sybr,50,251,0.06972222222222223,B10,7020,AFU,487,528,JS006,1,0,0,0,1,190,570,10,2,sybr50487528
sybr,50,251,0.06972222222222223,B11,6712,AFU,487,528,JS006,1,0,0,1,1,190,570,10,2,sybr50487528
sybr,50,251,0.06972222222222223,B12,6388,AFU,487,528,JS006,1,0,0,2,1,190,570,10,2,sybr50487528
sybr,50,251,0.06972222222222223,C1,7019,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,3,sybr50487528
sybr,50,251,0.06972222222222223,C2,6796,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,3,sybr50487528
sybr,50,251,0.06972222222222223,C3,6942,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,3,sybr50487528
sybr,50,251,0.06972222222222223,C4,7117,AFU,487,528,split pir 2x bxb1,1,0,0,0,1,180,540,10,3,sybr50487528
sybr,50,251,0.06972222222222223,C5,6936,AFU,487,528,split pir 2x bxb1,2,0,0,0,1,180,540,10,3,sybr50487528
sybr,50,251,0.06972222222222223,C6,7250,AFU,487,528,split pir 2x bxb1,3,0,0,0,1,190,570,10,3,sybr50487528
sybr,50,251,0.06972222222222223,C7,7047,AFU,487,528,split pir 2x bxb1,1,10,20,0,2,80,240,10,3,sybr50487528
sybr,50,251,0.06972222222222223,C8,6432,AFU,487,528,split pir 2x bxb1,2,10,20,0,2,170,510,10,3,sybr50487528
sybr,50,251,0.06972222222222223,C9,7018,AFU,487,528,split pir 2x bxb1,3,10,20,0,2,50,150,10,3,sybr50487528
sybr,50,251,0.06972222222222223,C10,6978,AFU,487,528,JS006,1,0,0,0,1,190,570,10,3,sybr50487528
sybr,50,251,0.06972222222222223,C11,6659,AFU,487,528,JS006,1,0,0,1,1,190,570,10,3,sybr50487528
sybr,50,251,0.06972222222222223,C12,6260,AFU,487,528,JS006,1,0,0,2,1,190,570,10,3,sybr50487528
sybr,50,311,0.08638888888888889,A1,6627,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,1,sybr50487528
sybr,50,311,0.08638888888888889,A2,6525,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,1,sybr50487528
sybr,50,311,0.08638888888888889,A3,6799,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,1,sybr50487528
sybr,50,311,0.08638888888888889,A4,7129,AFU,487,528,split pir 2x bxb1,1,0,0,0,1,180,540,10,1,sybr50487528
sybr,50,311,0.08638888888888889,A5,6924,AFU,487,528,split pir 2x bxb1,2,0,0,0,1,180,540,10,1,sybr50487528
sybr,50,311,0.08638888888888889,A6,7215,AFU,487,528,split pir 2x bxb1,3,0,0,0,1,190,570,10,1,sybr50487528
sybr,50,311,0.08638888888888889,A7,6964,AFU,487,528,split pir 2x bxb1,1,10,20,0,2,80,240,10,1,sybr50487528
sybr,50,311,0.08638888888888889,A8,6500,AFU,487,528,split pir 2x bxb1,2,10,20,0,2,170,510,10,1,sybr50487528
sybr,50,311,0.08638888888888889,A9,7021,AFU,487,528,split pir 2x bxb1,3,10,20,0,2,50,150,10,1,sybr50487528
sybr,50,311,0.08638888888888889,A10,6921,AFU,487,528,JS006,1,0,0,0,1,190,570,10,1,sybr50487528
sybr,50,311,0.08638888888888889,A11,6562,AFU,487,528,JS006,1,0,0,1,1,190,570,10,1,sybr50487528
sybr,50,311,0.08638888888888889,A12,6244,AFU,487,528,JS006,1,0,0,2,1,190,570,10,1,sybr50487528
