Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,col,iptg,sal,dnaseI,growth,rep,ChanStr
sybr,50,311,0.08638888888888889,B12,6145,AFU,487,528,JS006,1,0,0,2,1,2,sybr50487528
sybr,50,311,0.08638888888888889,C8,6765,AFU,487,528,JS006,1,0,0,0,1,3,sybr50487528
sybr,50,311,0.08638888888888889,C9,6674,AFU,487,528,JS006,1,0,0,0.25,1,3,sybr50487528
sybr,50,311,0.08638888888888889,C10,6680,AFU,487,528,JS006,1,0,0,0.5,1,3,sybr50487528
sybr,50,311,0.08638888888888889,C11,6519,AFU,487,528,JS006,1,0,0,1,1,3,sybr50487528
sybr,50,311,0.08638888888888889,C12,6136,AFU,487,528,JS006,1,0,0,2,1,3,sybr50487528
sybr,50,371,0.10305555555555555,A8,6614,AFU,487,528,JS006,1,0,0,0,1,1,sybr50487528
sybr,50,371,0.10305555555555555,A9,6606,AFU,487,528,JS006,1,0,0,0.25,1,1,sybr50487528
sybr,50,371,0.10305555555555555,A10,6518,AFU,487,528,JS006,1,0,0,0.5,1,1,sybr50487528
sybr,50,371,0.10305555555555555,A11,6338,AFU,487,528,JS006,1,0,0,1,1,1,sybr50487528
sybr,50,371,0.10305555555555555,A12,5962,AFU,487,528,JS006,1,0,0,2,1,1,sybr50487528
sybr,50,371,0.10305555555555555,B8,6702,AFU,487,528,JS006,1,0,0,0,1,2,sybr50487528
sybr,50,371,0.10305555555555555,B9,6691,AFU,487,528,JS006,1,0,0,0.25,1,2,sybr50487528
sybr,50,371,0.10305555555555555,B10,6587,AFU,487,528,JS006,1,0,0,0.5,1,2,sybr50487528
sybr,50,371,0.10305555555555555,B11,6473,AFU,487,528,JS006,1,0,0,1,1,2,sybr50487528
sybr,50,371,0.10305555555555555,B12,6057,AFU,487,528,JS006,1,0,0,2,1,2,sybr50487528
sybr,50,371,0.10305555555555555,C8,6731,AFU,487,528,JS006,1,0,0,0,1,3,sybr50487528
sybr,50,371,0.10305555555555555,C9,6641,AFU,487,528,JS006,1,0,0,0.25,1,3,sybr50487528
sybr,50,371,0.10305555555555555,C10,6628,AFU,487,528,JS006,1,0,0,0.5,1,3,sybr50487528
sybr,50,371,0.10305555555555555,C11,6443,AFU,487,528,JS006,1,0,0,1,1,3,sybr50487528
sybr,50,371,0.10305555555555555,C12,6042,AFU,487,528,JS006,1,0,0,2,1,3,sybr50487528
sybr,50,431,0.11972222222222222,A8,6585,AFU,487,528,JS006,1,0,0,0,1,1,sybr50487528
sybr,50,431,0.11972222222222222,A9,6547,AFU,487,528,JS006,1,0,0,0.25,1,1,sybr50487528
sybr,50,431,0.11972222222222222,A10,6491,AFU,487,528,JS006,1,0,0,0.5,1,1,sybr50487528
sybr,50,431,0.11972222222222222,A11,6270,AFU,487,528,JS006,1,0,0,1,1,1,sybr50487528
sybr,50,431,0.11972222222222222,A12,5909,AFU,487,528,JS006,1,0,0,2,1,1,sybr50487528
sybr,50,431,0.11972222222222222,B8,6687,AFU,487,528,JS006,1,0,0,0,1,2,sybr50487528
sybr,50,431,0.11972222222222222,B9,6661,AFU,487,528,JS006,1,0,0,0.25,1,2,sybr50487528
sybr,50,431,0.11972222222222222,B10,6557,AFU,487,528,JS006,1,0,0,0.5,1,2,sybr50487528
sybr,50,431,0.11972222222222222,B11,6427,AFU,487,528,JS006,1,0,0,1,1,2,sybr50487528
sybr,50,431,0.11972222222222222,B12,5961,AFU,487,528,JS006,1,0,0,2,1,2,sybr50487528
sybr,50,431,0.11972222222222222,C8,6707,AFU,487,528,JS006,1,0,0,0,1,3,sybr50487528
sybr,50,431,0.11972222222222222,C9,6603,AFU,487,528,JS006,1,0,0,0.25,1,3,sybr50487528
sybr,50,431,0.11972222222222222,C10,6590,AFU,487,528,JS006,1,0,0,0.5,1,3,sybr50487528
sybr,50,431,0.11972222222222222,C11,6387,AFU,487,528,JS006,1,0,0,1,1,3,sybr50487528
sybr,50,431,0.11972222222222222,C12,5964,AFU,487,528,JS006,1,0,0,2,1,3,sybr50487528
sybr,50,491,0.1363888888888889,A8,6558,AFU,487,528,JS006,1,0,0,0,1,1,sybr50487528
sybr,50,491,0.1363888888888889,A9,6506,AFU,487,528,JS006,1,0,0,0.25,1,1,sybr50487528
sybr,50,491,0.1363888888888889,A10,6434,AFU,487,528,JS006,1,0,0,0.5,1,1,sybr50487528
sybr,50,491,0.1363888888888889,A11,6210,AFU,487,528,JS006,1,0,0,1,1,1,sybr50487528
sybr,50,491,0.1363888888888889,A12,5823,AFU,487,528,JS006,1,0,0,2,1,1,sybr50487528
sybr,50,491,0.1363888888888889,B8,6658,AFU,487,528,JS006,1,0,0,0,1,2,sybr50487528
sybr,50,491,0.1363888888888889,B9,6619,AFU,487,528,JS006,1,0,0,0.25,1,2,sybr50487528
sybr,50,491,0.1363888888888889,B10,6509,AFU,487,528,JS006,1,0,0,0.5,1,2,sybr50487528
sybr,50,491,0.1363888888888889,B11,6352,AFU,487,528,JS006,1,0,0,1,1,2,sybr50487528
sybr,50,491,0.1363888888888889,B12,5898,AFU,487,528,JS006,1,0,0,2,1,2,sybr50487528
sybr,50,491,0.1363888888888889,C8,6657,AFU,487,528,JS006,1,0,0,0,1,3,sybr50487528
sybr,50,491,0.1363888888888889,C9,6553,AFU,487,528,JS006,1,0,0,0.25,1,3,sybr50487528
sybr,50,491,0.1363888888888889,C10,6542,AFU,487,528,JS006,1,0,0,0.5,1,3,sybr50487528
sybr,50,491,0.1363888888888889,C11,6314,AFU,487,528,JS006,1,0,0,1,1,3,sybr50487528
sybr,50,491,0.1363888888888889,C12,5874,AFU,487,528,JS006,1,0,0,2,1,3,sybr50487528
sybr,50,551,0.15305555555555556,A8,6553,AFU,487,528,JS006,1,0,0,0,1,1,sybr50487528
sybr,50,551,0.15305555555555556,A9,6479,AFU,487,528,JS006,1,0,0,0.25,1,1,sybr50487528
sybr,50,551,0.15305555555555556,A10,6396,AFU,487,528,JS006,1,0,0,0.5,1,1,sybr50487528
sybr,50,551,0.15305555555555556,A11,6147,AFU,487,528,JS006,1,0,0,1,1,1,sybr50487528
sybr,50,551,0.15305555555555556,A12,5727,AFU,487,528,JS006,1,0,0,2,1,1,sybr50487528
sybr,50,551,0.15305555555555556,B8,6621,AFU,487,528,JS006,1,0,0,0,1,2,sybr50487528
sybr,50,551,0.15305555555555556,B9,6604,AFU,487,528,JS006,1,0,0,0.25,1,2,sybr50487528
sybr,50,551,0.15305555555555556,B10,6494,AFU,487,528,JS006,1,0,0,0.5,1,2,sybr50487528
sybr,50,551,0.15305555555555556,B11,6315,AFU,487,528,JS006,1,0,0,1,1,2,sybr50487528
sybr,50,551,0.15305555555555556,B12,5835,AFU,487,528,JS006,1,0,0,2,1,2,sybr50487528
sybr,50,551,0.15305555555555556,C8,6636,AFU,487,528,JS006,1,0,0,0,1,3,sybr50487528
sybr,50,551,0.15305555555555556,C9,6530,AFU,487,528,JS006,1,0,0,0.25,1,3,sybr50487528
sybr,50,551,0.15305555555555556,C10,6460,AFU,487,528,JS006,1,0,0,0.5,1,3,sybr50487528
sybr,50,551,0.15305555555555556,C11,6250,AFU,487,528,JS006,1,0,0,1,1,3,sybr50487528
sybr,50,551,0.15305555555555556,C12,5789,AFU,487,528,JS006,1,0,0,2,1,3,sybr50487528
sybr,50,611,0.16972222222222222,A8,6523,AFU,487,528,JS006,1,0,0,0,1,1,sybr50487528
sybr,50,611,0.16972222222222222,A9,6461,AFU,487,528,JS006,1,0,0,0.25,1,1,sybr50487528
