Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,col,iptg,sal,dnaseI,growth,weight,lysate_vol,dilution,rep,ChanStr
sybr,50,71,0.01972222222222222,C4,7052,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,3,sybr50487528
sybr,50,71,0.01972222222222222,C5,6172,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,50,3,sybr50487528
sybr,50,71,0.01972222222222222,C6,5892,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,250,3,sybr50487528
sybr,50,71,0.01972222222222222,C7,7034,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,3,sybr50487528
sybr,50,71,0.01972222222222222,C8,6323,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,50,3,sybr50487528
sybr,50,71,0.01972222222222222,C9,6159,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,250,3,sybr50487528
sybr,50,71,0.01972222222222222,C10,6956,AFU,487,528,JS006,1,0,0,0,1,190,570,10,3,sybr50487528
sybr,50,71,0.01972222222222222,C11,6184,AFU,487,528,JS006,1,0,0,0,1,190,570,50,3,sybr50487528
sybr,50,71,0.01972222222222222,C12,5911,AFU,487,528,JS006,1,0,0,0,1,190,570,250,3,sybr50487528
sybr,50,131,0.03638888888888889,A1,7085,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,1,sybr50487528
sybr,50,131,0.03638888888888889,A2,6169,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,50,1,sybr50487528
sybr,50,131,0.03638888888888889,A3,6020,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,250,1,sybr50487528
sybr,50,131,0.03638888888888889,A4,6797,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,1,sybr50487528
sybr,50,131,0.03638888888888889,A5,6085,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,50,1,sybr50487528
sybr,50,131,0.03638888888888889,A6,6200,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,250,1,sybr50487528
sybr,50,131,0.03638888888888889,A7,7083,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,1,sybr50487528
sybr,50,131,0.03638888888888889,A8,6347,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,50,1,sybr50487528
sybr,50,131,0.03638888888888889,A9,6209,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,250,1,sybr50487528
sybr,50,131,0.03638888888888889,A10,6895,AFU,487,528,JS006,1,0,0,0,1,190,570,10,1,sybr50487528
sybr,50,131,0.03638888888888889,A11,6210,AFU,487,528,JS006,1,0,0,0,1,190,570,50,1,sybr50487528
sybr,50,131,0.03638888888888889,A12,6019,AFU,487,528,JS006,1,0,0,0,1,190,570,250,1,sybr50487528
sybr,50,131,0.03638888888888889,B1,7028,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,2,sybr50487528
sybr,50,131,0.03638888888888889,B2,6278,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,50,2,sybr50487528
sybr,50,131,0.03638888888888889,B3,6224,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,250,2,sybr50487528
sybr,50,131,0.03638888888888889,B4,6890,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,2,sybr50487528
sybr,50,131,0.03638888888888889,B5,6366,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,50,2,sybr50487528
sybr,50,131,0.03638888888888889,B6,6083,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,250,2,sybr50487528
sybr,50,131,0.03638888888888889,B7,7133,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,2,sybr50487528
sybr,50,131,0.03638888888888889,B8,6293,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,50,2,sybr50487528
sybr,50,131,0.03638888888888889,B9,6209,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,250,2,sybr50487528
sybr,50,131,0.03638888888888889,B10,6932,AFU,487,528,JS006,1,0,0,0,1,190,570,10,2,sybr50487528
sybr,50,131,0.03638888888888889,B11,6081,AFU,487,528,JS006,1,0,0,0,1,190,570,50,2,sybr50487528
sybr,50,131,0.03638888888888889,B12,5997,AFU,487,528,JS006,1,0,0,0,1,190,570,250,2,sybr50487528
sybr,50,131,0.03638888888888889,C1,7057,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,3,sybr50487528
sybr,50,131,0.03638888888888889,C2,6199,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,50,3,sybr50487528
sybr,50,131,0.03638888888888889,C3,5829,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,250,3,sybr50487528
sybr,50,131,0.03638888888888889,C4,6927,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,3,sybr50487528
sybr,50,131,0.03638888888888889,C5,6135,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,50,3,sybr50487528
sybr,50,131,0.03638888888888889,C6,5887,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,250,3,sybr50487528
