01:03:11,25.1,86,9,10,8,9,9,9,5990,5322,4887,4443,3949,8,10,10,10,8,7,10,6018,5370,4915,4574,4236,9,10,9,9,7,10,9,6044,5348,4924,4488,4191
01:04:11,25.1,86,10,9,8,7,7,10,5990,5303,4893,4418,3920,7,9,6,7,9,7,10,5992,5366,4887,4554,4215,8,9,8,9,10,9,12,6026,5340,4906,4494,4171
01:05:11,25.1,85,8,8,9,7,10,8,5984,5292,4860,4388,3884,10,8,10,10,9,8,11,6016,5350,4875,4525,4210,8,10,10,10,7,10,10,6027,5344,4891,4471,4154
01:06:11,25.1,86,9,9,9,11,8,8,5977,5281,4844,4361,3850,10,7,8,8,8,9,9,5996,5316,4855,4513,4194,8,8,10,9,11,9,9,6012,5325,4867,4454,4124
01:07:11,25.1,85,8,8,8,8,9,8,5971,5260,4830,4344,3812,9,8,7,8,8,9,7,5997,5303,4830,4486,4171,9,9,9,8,7,8,11,6041,5308,4850,4423,4102
01:08:11,25.1,85,8,7,13,9,9,9,5969,5252,4812,4314,3781,9,9,10,10,8,10,8,6003,5301,4818,4460,4133,9,9,9,8,8,8,11,6030,5294,4831,4390,4087
01:09:11,25.1,86,8,8,10,9,9,9,5968,5251,4807,4284,3749,9,5,10,10,9,10,8,5996,5291,4793,4458,4128,7,8,9,9,8,10,7,6025,5298,4828,4376,4062
01:10:11,25.1,84,9,9,7,9,8,10,5977,5236,4780,4265,3717,7,8,8,7,10,10,8,6002,5289,4784,4431,4109,10,10,9,10,9,8,9,6013,5280,4806,4350,4045
01:11:11,25.1,86,8,8,10,7,8,9,5988,5215,4772,4238,3668,9,8,9,11,9,9,10,6002,5276,4751,4409,4087,8,9,12,9,9,7,11,6018,5274,4793,4336,4029
01:12:11,25.1,86,9,10,9,9,10,10,5975,5192,4753,4212,3648,9,9,11,10,9,7,9,6007,5255,4749,4386,4060,9,7,8,9,8,9,10,6015,5269,4778,4311,3991
01:13:11,25.1,87,9,8,8,9,12,7,5976,5194,4731,4197,3622,7,8,9,9,9,10,10,5999,5234,4733,4371,4063,9,5,9,10,8,9,9,6007,5259,4762,4290,3984
01:14:11,25.1,86,9,9,11,9,6,8,5962,5166,4720,4168,3580,8,7,10,7,9,7,8,5987,5228,4717,4335,4017,10,8,8,9,8,8,10,6006,5236,4730,4259,3958
01:15:11,25.1,83,9,8,9,9,9,8,5950,5171,4694,4135,3558,10,7,8,9,8,7,9,5993,5216,4700,4319,4004,10,7,8,11,8,9,10,6000,5244,4712,4251,3923
01:16:11,25.1,84,7,9,9,9,10,10,5954,5164,4684,4138,3552,8,7,9,9,10,11,10,5971,5193,4673,4284,3981,9,8,8,8,8,8,10,6001,5207,4702,4244,3904
01:17:11,25.1,84,8,9,10,9,8,10,5958,5141,4669,4112,3525,8,8,8,9,9,10,9,5970,5201,4648,4285,3946,8,9,7,9,9,10,9,5984,5210,4679,4209,3886
01:18:11,25.1,86,10,10,9,9,10,8,5957,5127,4657,4097,3495,10,11,8,10,9,9,10,5971,5163,4633,4249,3921,9,9,9,8,10,11,9,5981,5175,4666,4196,3847
01:19:11,25.1,85,9,9,8,10,7,9,5977,5102,4642,4076,3476,10,9,10,9,8,9,8,5979,5168,4625,4227,3902,9,9,9,9,11,9,9,6007,5180,4657,4180,3813
01:20:11,25.1,84,10,9,9,8,9,8,5935,5122,4628,4088,3458,7,7,10,7,9,9,10,5977,5161,4593,4199,3867,9,8,9,8,8,8,9,5994,5171,4632,4172,3784
01:21:11,25.1,86,10,9,9,9,10,9,5937,5115,4606,4065,3450,8,6,8,11,12,8,8,5978,5148,4589,4181,3826,9,8,9,9,8,9,9,5989,5142,4602,4154,3758
01:22:11,25.1,86,9,9,9,9,9,8,5944,5090,4593,4049,3437,8,7,8,9,9,9,10,5965,5127,4574,4163,3807,10,9,10,8,7,8,9,5983,5143,4601,4145,3731
01:23:11,25.1,84,8,7,8,9,8,8,5950,5080,4580,4045,3413,10,10,9,10,6,10,8,5970,5115,4558,4139,3769,9,9,10,9,8,10,10,5979,5098,4585,4121,3699
01:24:11,25.1,85,9,10,9,10,9,9,5941,5079,4572,4027,3403,8,8,8,9,8,11,10,5978,5089,4542,4112,3755,8,8,9,9,8,10,7,5985,5094,4575,4129,3663
01:25:11,25.1,84,9,8,9,8,6,9,5944,5070,4557,4013,3385,10,8,8,9,9,12,8,5974,5101,4523,4086,3723,8,7,9,9,9,9,9,5971,5076,4542,4099,3642
01:26:11,25.1,85,8,7,8,11,9,10,5940,5052,4543,4010,3378,10,9,8,9,8,9,11,5957,5079,4531,4069,3705,10,8,9,9,8,9,9,5975,5058,4535,4112,3609
01:27:11,25.1,86,9,10,9,9,10,9,5939,5049,4520,4004,3374,7,9,8,10,11,9,7,5956,5057,4499,4067,3679,9,10,9,8,8,10,8,5976,5043,4522,4092,3583
01:28:11,25.1,86,10,10,9,8,10,9,5956,5049,4519,4002,3371,7,9,9,11,8,10,9,5949,5065,4494,4048,3657,9,8,8,8,10,9,9,5984,5016,4501,4085,3567
01:29:11,25.1,84,8,9,9,9,9,8,5940,5039,4510,3981,3349,8,9,9,8,7,8,6,5958,5049,4481,4030,3624,9,8,10,10,8,11,7,5969,5011,4501,4069,3544
01:30:11,25.1,85,8,8,9,8,7,11,5921,5028,4479,3993,3347,9,8,8,9,9,8,11,5960,5044,4476,3998,3618,9,7,8,8,9,10,8,5984,4986,4472,4068,3524
01:31:11,25.1,84,10,9,7,9,10,11,5927,5029,4488,3984,3335,9,8,7,9,8,10,10,5942,5048,4469,3983,3586,9,9,11,7,9,10,7,5969,4960,4485,4065,3508
01:32:11,25.1,86,8,8,10,9,9,10,5933,5014,4477,3986,3319,8,7,9,8,9,8,10,5943,5018,4466,3974,3580,7,10,9,9,9,9,9,5968,4954,4466,4055,3489
01:33:11,25.1,85,6,10,8,8,8,10,5921,5004,4471,3966,3316,9,7,8,10,9,10,10,5948,5027,4445,3963,3557,8,7,8,9,9,10,8,5977,4927,4447,4073,3495
01:34:11,25.1,84,10,8,8,10,9,8,5921,5010,4472,3961,3300,8,9,8,11,8,10,9,5941,5018,4446,3941,3545,10,10,9,11,9,8,11,5973,4892,4436,4068,3495
01:35:11,25.1,85,9,8,8,9,8,10,5914,5008,4456,3952,3303,9,7,10,12,11,10,8,5963,4995,4436,3918,3547,8,8,9,8,10,11,9,5949,4895,4419,4048,3492
01:36:11,25.1,84,8,9,10,9,8,10,5924,5003,4457,3943,3271,9,8,10,9,9,8,8,5940,5004,4422,3916,3517,8,9,9,12,8,10,9,5987,4854,4407,4027,3468
01:37:11,25.1,86,9,8,8,8,7,9,5924,4972,4451,3923,3261,8,7,8,7,9,9,10,5952,4997,4418,3900,3523,7,9,10,9,12,9,11,5957,4857,4413,4016,3479
01:38:11,25.1,85,9,8,11,8,9,11,5919,4985,4418,3920,3248,8,8,9,9,9,10,9,5936,4990,4405,3894,3493,8,9,7,8,9,9,10,5973,4828,4392,4000,3474
01:39:11,25.1,82,10,8,10,9,8,7,5921,4986,4430,3922,3239,9,10,9,10,9,9,9,5944,4996,4394,3882,3482,8,7,7,9,8,8,10,5962,4810,4398,3991,3469
01:40:11,25.1,85,9,6,9,10,8,8,5922,4993,4434,3899,3217,8,7,8,10,11,9,9,5944,4987,4395,3885,3477,9,6,10,10,12,9,8,5987,4800,4390,3979,3478
01:41:11,25.1,86,10,8,10,9,9,8,5902,4982,4420,3885,3201,9,9,8,11,10,8,10,5928,4967,4387,3873,3474,9,10,9,10,9,9,10,5968,4777,4385,3966,3455
01:42:11,25.1,85,8,9,7,10,9,9,5925,4969,4415,3870,3193,8,9,9,9,9,7,9,5951,4965,4395,3861,3452,8,7,10,9,8,9,9,5956,4760,4370,3943,3465
01:43:11,25.1,85,8,7,8,8,8,8,5915,4974,4425,3859,3173,8,9,9,8,11,7,8,5930,4962,4383,3864,3453,10,8,9,8,8,9,8,5943,4736,4352,3936,3444
01:44:11,25.1,84,8,8,9,9,8,10,5900,4959,4428,3858,3173,9,10,7,8,12,11,9,5928,4959,4381,3853,3438,8,10,7,6,8,7,10,5964,4721,4357,3908,3448
01:45:11,25.1,86,8,9,10,10,8,10,5895,4968,4424,3838,3153,8,9,8,6,7,10,9,5943,4947,4388,3839,3426,9,7,8,9,9,10,7,5955,4706,4339,3895,3433
01:46:11,25.1,85,10,7,10,9,9,9,5891,4961,4413,3827,3135,9,9,10,8,10,8,8,5937,4951,4366,3847,3433,8,7,9,9,10,10,10,5930,4688,4344,3876,3424
01:47:11,25.1,82,9,10,8,8,8,8,5905,4960,4405,3816,3132,8,8,9,8,7,10,9,5937,4949,4376,3830,3423,7,9,9,9,8,10,9,5946,4669,4343,3861,3425
01:48:11,25.1,87,9,9,7,10,9,9,5909,4973,4418,3808,3123,10,9,8,9,9,10,10,5918,4944,4363,3849,3432,8,8,9,9,8,8,10,5944,4660,4343,3851,3404
01:49:11,25.1,84,8,9,8,9,7,9,5894,4960,4417,3794,3118,9,9,8,9,8,8,7,5914,4940,4373,3823,3414,9,10,8,9,10,8,8,5944,4657,4337,3838,3403
01:50:11,25.1,86,8,8,10,10,6,9,5907,4962,4415,3790,3113,9,8,10,8,10,11,9,5904,4940,4353,3840,3406,8,9,9,8,10,11,9,5957,4633,4344,3811,3398
01:51:11,25.1,86,10,8,11,6,8,8,5909,4970,4421,3779,3101,8,10,9,8,9,9,9,5932,4942,4370,3844,3405,8,10,8,8,11,9,9,5964,4626,4334,3810,3373
01:52:11,25.1,84,10,8,10,7,12,11,5885,4959,4423,3770,3090,7,8,8,9,10,8,9,5914,4920,4365,3837,3397,9,7,9,8,10,9,10,5952,4596,4342,3802,3345
01:53:11,25.1,84,9,8,9,10,10,10,5900,4942,4423,3752,3072,8,7,9,9,11,12,9,5928,4916,4362,3841,3385,9,7,7,10,9,9,8,5966,4588,4325,3776,3331
01:54:11,25.1,85,8,9,10,10,8,8,5897,4954,4402,3730,3054,8,9,8,8,9,9,10,5928,4922,4360,3826,3400,9,9,8,9,9,9,10,5955,4586,4313,3761,3324
01:55:11,25.1,86,12,8,9,7,9,9,5902,4945,4400,3719,3058,8,9,9,9,8,9,7,5912,4922,4350,3825,3390,9,7,9,10,9,10,9,5951,4570,4319,3744,3301
