well,Plate,Cells | Freq. of Parent (%),mScarlet-/GFP+_percent,mScarlet-/GFP+_Geometric Mean (GFP),mScarlet-/GFP+_Geometric Mean (mScarlet),mScarlet+/GFP+_percent,mScarlet+/GFP+_Geometric Mean (GFP),mScarlet+/GFP+_Geometric Mean (mScarlet),mScarlet+/GFP-_percent,mScarlet+/GFP-_Geometric Mean (GFP),mScarlet+/GFP-_Geometric Mean (mScarlet),mScarlet-/GFP-_percent,mScarlet-/GFP-_Geometric Mean (GFP),mScarlet-/GFP-_Geometric Mean (mScarlet)
C3,1,36.4,2.96,30163,616,59.4,30976,9894,35.4,1241,14174,2.22,1045,560
C4,1,33.9,13.7,31680,583,62.7,40158,8296,17.2,1544,16399,6.38,1329,529
C5,1,37.4,9.32,32809,569,65.3,36624,9553,20.8,1566,19084,4.55,1334,516
C6,1,39,11.5,32712,573,64,38223,8924,19.3,1590,16624,5.17,1315,511
C7,1,40.6,0.25,33923,618,54.8,35995,20532,44.4,884,22210,0.52,474,377
C8,1,39.9,0.25,31436,651,61.4,35913,19930,37.9,932,21961,0.51,364,421
C9,1,45,2.65,28064,593,48.1,31816,11401,45.4,1162,15065,3.83,971,539
C10,1,41.9,15,30412,573,60.1,39345,10000,17.9,1454,16579,7.12,1198,540
C11,1,37.1,9.42,32248,557,63,36792,12140,22.3,1420,25150,5.3,1258,523
C12,1,45.7,11.9,32043,539,63.9,38055,12158,19.1,1480,26385,5.02,1241,492
D1,1,49.5,0.51,58912,671,95.5,54936,13351,3.92,1679,21812,0.11,457,273
D2,1,51.5,1.18,52772,699,93.5,50922,12145,5.18,1570,20490,0.13,381,268
D3,1,46.7,6.61,50449,621,85.8,49338,7715,6.87,1670,14488,0.74,1341,458
D4,1,38.6,21.4,67863,597,76.6,78456,5366,1.01,1823,13749,0.99,1467,423
D5,1,37,15.9,61551,593,81.5,66651,6286,1.85,1945,15071,0.77,1398,441
D6,1,40.6,19.3,69125,593,78.7,74855,5682,1.22,2114,14850,0.83,1185,348
D7,1,46.2,0.5,42779,636,89.6,53840,16156,9.68,1245,19334,0.25,636,303
D8,1,47.1,0.84,46164,653,90.5,53314,15800,8.4,1325,20375,0.27,772,405
D9,1,37,7.94,40398,574,79.9,48428,8263,10.5,1487,12478,1.68,1329,515
D10,1,40.6,29.9,56633,521,66.2,83979,6579,1.76,1781,12453,2.15,1452,418
D11,1,47.3,19.7,56605,532,76.9,76474,6902,2.06,1770,14769,1.34,1386,390
D12,1,40.1,23.7,58942,517,73.2,81323,6594,1.8,1834,15622,1.32,1614,384
E1,1,50.9,0.031,65210,817,0.34,55262,8103,98.9,579,13479,0.76,466,641
E2,1,54,0.01,103758,892,0.26,33785,10716,98.3,603,12411,1.46,477,631
E3,1,49.6,0.015,76367,641,0.29,18080,14288,93.6,1094,6831,6.13,974,597
E4,1,46.5,0.023,25093,672,0.37,14318,19456,80.2,1109,6666,19.4,1013,604
E5,1,49.8,0.042,28061,635,0.45,15962,13183,85.7,1132,6755,13.8,1045,584
E6,1,50.2,0.032,36354,649,0.42,19812,11362,83.2,1142,6380,16.4,1055,585
E7,1,51.1,0,n/a,n/a,0.12,38610,15033,99.2,646,11435,0.65,451,597
E8,1,44.7,0,n/a,n/a,0.085,18240,10936,98.8,624,11526,1.14,528,626
E9,1,45.7,8.81E-03,6715,786,0.28,12561,19177,93.3,1124,6804,6.44,981,603
E10,1,45.5,0.023,14785,671,0.24,11422,21881,79.5,1111,6438,20.2,1009,596
E11,1,52.4,7.38E-03,13872,841,0.39,10921,20905,84.7,1103,7423,14.9,1019,574
E12,1,46,0.025,14210,521,0.35,14199,18236,82.6,1104,6865,17.1,1029,575
F1,1,43.6,0.16,22180,675,32.4,19792,11639,67,821,12789,0.48,621,603
F2,1,52.5,0.32,20215,691,26.2,20698,10888,72.5,740,12817,0.99,577,625
F3,1,51.5,1.83,20463,623,24.6,20730,6644,67.2,1152,8073,6.36,1006,575
F4,1,46.8,8.92,17897,597,37.5,21814,6003,40.7,1388,7245,12.8,1268,581
F5,1,42.8,5.8,17156,596,38,19842,6147,46.4,1391,6927,9.82,1299,564
F6,1,44,7.28,18620,590,35.3,21089,5942,45.9,1415,7092,11.5,1306,551
F7,1,42.7,0.83,21580,590,24.7,21262,8465,53.9,781,9754,20.5,139,226
F8,1,42.9,0.3,23244,733,27.6,23538,10452,71.1,735,11149,0.97,601,641
F9,1,47.1,1.49,18520,602,19.6,21967,6579,72.6,1213,7122,6.31,1089,589
F10,1,49.5,8.18,19247,602,30.9,23573,6024,44.4,1272,6636,16.6,1166,579
F11,1,52.5,5.48,19884,578,31.2,22840,6847,51.5,1249,8267,11.8,1156,558
F12,1,47.9,7.69,19947,573,34.9,23326,6865,44.8,1291,8259,12.6,1216,543
G1,1,44.4,0.47,26815,701,74,28354,11517,25.3,1159,14282,0.28,1117,509
G2,1,51.8,0.85,27791,685,70.5,28625,10277,28.1,1083,13724,0.52,896,566
G3,1,50,4.92,25843,617,71,28399,6462,21.9,1511,8896,2.17,1299,531
G4,1,43.2,18.2,30411,595,66.4,38354,5479,10.5,1673,7837,4.94,1486,533
G5,1,42.5,12.8,28665,597,69.4,32443,5951,13.8,1696,8588,3.9,1507,531
G6,1,42.4,15.5,30304,595,67.1,35796,5608,12.7,1726,8301,4.66,1507,512
G7,1,46.5,0.45,31190,679,73.1,34308,11588,26.1,1064,13091,0.34,885,572
G8,1,46.4,0.64,26323,713,66.3,31936,10713,32.5,1011,12414,0.58,819,613
G9,1,51.1,5.28,24029,613,58.2,28163,6621,32.6,1398,8239,3.97,1279,553
G10,1,46.4,21.7,27807,569,54.5,37710,5870,14.1,1501,8244,9.65,1365,517
G11,1,52.9,13.5,27599,567,59.5,34073,6567,20.1,1495,9594,6.94,1349,499
G12,1,52.7,17.4,29281,541,58.6,37429,6873,16.6,1496,11671,7.49,1343,474
H1,1,52.1,0.94,46365,729,96.9,47988,9531,2.04,1776,14882,0.1,254,331
H2,1,52.1,1.32,43733,715,96.6,48120,8601,1.97,1796,14109,0.14,656,348
H3,1,45.7,9.22,42635,633,87.7,45048,5602,2.56,1972,9236,0.51,1438,450
H4,1,44.8,24.2,70582,606,74.4,83369,4286,0.59,1842,11167,0.84,1239,337
H5,1,44.1,20.1,62419,605,77.5,70542,4501,1.42,1937,8787,1.02,1090,382
H6,1,48.7,23.4,67130,594,74.8,76304,4300,0.97,1902,9362,0.83,1358,388
H7,1,47.7,0.9,42834,662,96.4,55771,10152,2.61,1600,12968,0.12,651,266
H8,1,49.6,1.55,41136,668,93.4,51745,9386,4.8,1373,12633,0.24,926,435
H9,1,44.9,11.6,34323,574,79.8,42506,6206,6.97,1718,8894,1.68,1395,478
H10,1,51.3,37.5,59165,497,58.1,96542,5080,1.34,1514,8750,3.1,1329,333
H11,1,45.2,26.8,59357,516,68.8,82761,5221,2.23,1646,9520,2.13,1475,353
H12,1,46,28.4,69303,503,67.9,93197,5242,1.59,1571,12157,2.12,1153,299
