row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,read
G,1.362,1.01,1.333,0.931,1.351,0.973,0.439,0.543,0.492,0.408,0.556,0.385,1.087,1.085,1.239,1.014,1.246,0.933,0.076,0.344,0.068,0.126,0.205,0.665,OD700_1:700
G,22341,15678,22718,14905,23868,16187,12091,9206,13469,8076,11422,7815,22687,20239,22823,18378,22348,16799,768,9103,686,1446,5113,23773,"sfGFP_2:485,515"
G,655,317,621,279,620,277,20,54,23,31,773,30,633,334,645,317,642,290,7,34,2,13,14,168,"mScarlet_1_2:565,595"
G,19263,9224,18202,8301,18021,8199,610,1535,666,1002,23381,865,18482,9739,18804,9176,18685,8554,256,1009,185,245,256,4901,"mScarlet_2_2:565,595"
G,1.347,0.995,1.323,0.923,1.333,0.967,0.426,0.543,0.489,0.411,0.541,0.383,1.067,1.08,1.231,1.014,1.236,0.93,0.076,0.348,0.068,0.125,0.203,0.649,OD700_2:700
H,26033,19067,25930,16757,25817,17003,12332,5044,13041,3198,11444,3749,22916,22432,25321,22505,25325,20964,719,400,607,210,4675,8831,"sfGFP_1:485,515"
H,546,270,527,241,463,226,22,24,21,18,706,14,367,227,539,242,579,239,7,6,7,7,8,17,"mScarlet_1_1:565,595"
H,15885,7793,15323,7162,13486,6574,587,635,638,458,20629,467,10637,6670,15552,7073,16877,6965,164,133,150,125,215,457,"mScarlet_2_1:565,595"
H,1.218,0.971,1.195,0.886,1.157,0.873,0.447,0.312,0.474,0.217,0.565,0.227,0.862,0.836,1.091,0.876,1.077,0.827,0.08,0.054,0.062,0.043,0.197,0.337,OD700_1:700
H,25946,18705,26063,16579,25714,16988,12372,5060,13262,3327,11391,3851,22983,22483,25373,22458,25424,21043,715,402,600,208,4713,9014,"sfGFP_2:485,515"
H,533,266,509,244,447,225,19,22,23,18,701,12,352,227,516,239,559,239,5,4,2,4,6,11,"mScarlet_1_2:565,595"
H,15644,7747,14945,7156,13090,6525,558,631,606,463,20578,455,10208,6589,15228,6964,16357,6973,156,128,146,120,206,449,"mScarlet_2_2:565,595"
H,1.208,0.953,1.185,0.884,1.134,0.854,0.432,0.319,0.466,0.226,0.546,0.238,0.846,0.825,1.091,0.867,1.075,0.816,0.079,0.054,0.062,0.043,0.197,0.343,OD700_2:700
I,288,278,244,283,275,285,780,364,785,366,936,380,336,369,345,372,502,374,521,429,568,437,520,444,"sfGFP_1:485,515"
