well,strain,sal,las,iptg,chlor,cole1,rep
J12,split pir 2x bxb1,15,0.01,10,+,carb,3
J13,1x diff 2x bxb1,15,0.1,10,+,kan,1
J14,1x diff 2x bxb1,15,0.01,10,+,kan,1
J15,1x diff 2x bxb1,15,0.1,10,+,kan,2
J16,1x diff 2x bxb1,15,0.01,10,+,kan,2
J17,1x diff 2x bxb1,15,0.1,10,+,kan,3
J18,1x diff 2x bxb1,15,0.01,10,+,kan,3
J19,split pir 2x bxb1,15,0.1,10,+,kan,1
J20,split pir 2x bxb1,15,0.01,10,+,kan,1
J21,split pir 2x bxb1,15,0.1,10,+,kan,2
J22,split pir 2x bxb1,15,0.01,10,+,kan,2
J23,split pir 2x bxb1,15,0.1,10,+,kan,3
J24,split pir 2x bxb1,15,0.01,10,+,kan,3
K1,1x diff 2x bxb1,20,0.1,10,+,carb,1
K2,1x diff 2x bxb1,20,0.01,10,+,carb,1
K3,1x diff 2x bxb1,20,0.1,10,+,carb,2
K4,1x diff 2x bxb1,20,0.01,10,+,carb,2
K5,1x diff 2x bxb1,20,0.1,10,+,carb,3
K6,1x diff 2x bxb1,20,0.01,10,+,carb,3
K7,split pir 2x bxb1,20,0.1,10,+,carb,1
K8,split pir 2x bxb1,20,0.01,10,+,carb,1
K9,split pir 2x bxb1,20,0.1,10,+,carb,2
K10,split pir 2x bxb1,20,0.01,10,+,carb,2
K11,split pir 2x bxb1,20,0.1,10,+,carb,3
K12,split pir 2x bxb1,20,0.01,10,+,carb,3
K13,1x diff 2x bxb1,20,0.1,10,+,kan,1
K14,1x diff 2x bxb1,20,0.01,10,+,kan,1
K15,1x diff 2x bxb1,20,0.1,10,+,kan,2
K16,1x diff 2x bxb1,20,0.01,10,+,kan,2
K17,1x diff 2x bxb1,20,0.1,10,+,kan,3
K18,1x diff 2x bxb1,20,0.01,10,+,kan,3
K19,split pir 2x bxb1,20,0.1,10,+,kan,1
K20,split pir 2x bxb1,20,0.01,10,+,kan,1
K21,split pir 2x bxb1,20,0.1,10,+,kan,2
K22,split pir 2x bxb1,20,0.01,10,+,kan,2
K23,split pir 2x bxb1,20,0.1,10,+,kan,3
K24,split pir 2x bxb1,20,0.01,10,+,kan,3
L1,1x diff 2x bxb1,30,0.1,10,+,carb,1
L2,1x diff 2x bxb1,30,0.01,10,+,carb,1
L3,1x diff 2x bxb1,30,0.1,10,+,carb,2
L4,1x diff 2x bxb1,30,0.01,10,+,carb,2
L5,1x diff 2x bxb1,30,0.1,10,+,carb,3
L6,1x diff 2x bxb1,30,0.01,10,+,carb,3
L7,split pir 2x bxb1,30,0.1,10,+,carb,1
L8,split pir 2x bxb1,30,0.01,10,+,carb,1
L9,split pir 2x bxb1,30,0.1,10,+,carb,2
L10,split pir 2x bxb1,30,0.01,10,+,carb,2
L11,split pir 2x bxb1,30,0.1,10,+,carb,3
L12,split pir 2x bxb1,30,0.01,10,+,carb,3
L13,1x diff 2x bxb1,30,0.1,10,+,kan,1
L14,1x diff 2x bxb1,30,0.01,10,+,kan,1
L15,1x diff 2x bxb1,30,0.1,10,+,kan,2
L16,1x diff 2x bxb1,30,0.01,10,+,kan,2
L17,1x diff 2x bxb1,30,0.1,10,+,kan,3
L18,1x diff 2x bxb1,30,0.01,10,+,kan,3
L19,split pir 2x bxb1,30,0.1,10,+,kan,1
L20,split pir 2x bxb1,30,0.01,10,+,kan,1
L21,split pir 2x bxb1,30,0.1,10,+,kan,2
L22,split pir 2x bxb1,30,0.01,10,+,kan,2
L23,split pir 2x bxb1,30,0.1,10,+,kan,3
L24,split pir 2x bxb1,30,0.01,10,+,kan,3
M1,1x diff 2x bxb1,0,0.1,50,+,carb,1
M2,1x diff 2x bxb1,0,0.01,50,+,carb,1
M3,1x diff 2x bxb1,0,0.1,50,+,carb,2
M4,1x diff 2x bxb1,0,0.01,50,+,carb,2
M5,1x diff 2x bxb1,0,0.1,50,+,carb,3
M6,1x diff 2x bxb1,0,0.01,50,+,carb,3
M7,split pir 2x bxb1,0,0.1,50,+,carb,1
M8,split pir 2x bxb1,0,0.01,50,+,carb,1
M9,split pir 2x bxb1,0,0.1,50,+,carb,2
M10,split pir 2x bxb1,0,0.01,50,+,carb,2
M11,split pir 2x bxb1,0,0.1,50,+,carb,3
M12,split pir 2x bxb1,0,0.01,50,+,carb,3
M13,1x diff 2x bxb1,0,0.1,50,+,kan,1
M14,1x diff 2x bxb1,0,0.01,50,+,kan,1
