,well,strain,sal,las,iptg,chlor,cole1,rep,plate,channel,measurement
498,A16,1x diff 2x bxb1,30,0.01,50,-,kan,1,13,mScarlet,540.5
502,A16,1x diff 2x bxb1,30,0.01,50,-,kan,1,14,mScarlet,744.0
506,A16,1x diff 2x bxb1,30,0.01,50,-,kan,1,15,mScarlet,695.5
510,A16,1x diff 2x bxb1,30,0.01,50,-,kan,1,16,mScarlet,697.5
514,A17,1x diff 2x bxb1,10,0.01,10,+,carb,1,1,mScarlet,643.5
518,A17,1x diff 2x bxb1,10,0.01,10,+,carb,1,2,mScarlet,596.5
522,A17,1x diff 2x bxb1,10,0.01,10,+,carb,1,3,mScarlet,577.5
526,A17,1x diff 2x bxb1,10,0.01,10,+,carb,1,4,mScarlet,555.5
530,A17,1x diff 2x bxb1,10,0.01,10,+,carb,1,5,mScarlet,595.0
534,A17,1x diff 2x bxb1,10,0.01,10,+,carb,1,6,mScarlet,567.0
538,A17,1x diff 2x bxb1,10,0.01,10,+,carb,1,7,mScarlet,608.0
542,A17,1x diff 2x bxb1,10,0.01,10,+,carb,1,8,mScarlet,603.5
546,A17,1x diff 2x bxb1,10,0.01,10,+,carb,1,9,mScarlet,625.0
550,A17,1x diff 2x bxb1,10,0.01,10,+,carb,1,10,mScarlet,608.0
554,A17,1x diff 2x bxb1,10,0.01,10,+,carb,1,11,mScarlet,629.0
558,A17,1x diff 2x bxb1,10,0.01,10,+,carb,1,12,mScarlet,595.5
562,A17,1x diff 2x bxb1,10,0.01,10,+,carb,1,13,mScarlet,451.5
566,A17,1x diff 2x bxb1,10,0.01,10,+,carb,1,14,mScarlet,591.5
570,A17,1x diff 2x bxb1,10,0.01,10,+,carb,1,15,mScarlet,561.5
574,A17,1x diff 2x bxb1,10,0.01,10,+,carb,1,16,mScarlet,475.0
578,A18,1x diff 2x bxb1,10,0.01,10,+,kan,1,1,mScarlet,576.5
582,A18,1x diff 2x bxb1,10,0.01,10,+,kan,1,2,mScarlet,570.5
586,A18,1x diff 2x bxb1,10,0.01,10,+,kan,1,3,mScarlet,285.5
590,A18,1x diff 2x bxb1,10,0.01,10,+,kan,1,4,mScarlet,441.5
594,A18,1x diff 2x bxb1,10,0.01,10,+,kan,1,5,mScarlet,556.0
598,A18,1x diff 2x bxb1,10,0.01,10,+,kan,1,6,mScarlet,457.5
602,A18,1x diff 2x bxb1,10,0.01,10,+,kan,1,7,mScarlet,543.0
606,A18,1x diff 2x bxb1,10,0.01,10,+,kan,1,8,mScarlet,540.5
610,A18,1x diff 2x bxb1,10,0.01,10,+,kan,1,9,mScarlet,578.0
614,A18,1x diff 2x bxb1,10,0.01,10,+,kan,1,10,mScarlet,555.0
618,A18,1x diff 2x bxb1,10,0.01,10,+,kan,1,11,mScarlet,531.5
622,A18,1x diff 2x bxb1,10,0.01,10,+,kan,1,12,mScarlet,285.5
626,A18,1x diff 2x bxb1,10,0.01,10,+,kan,1,13,mScarlet,536.0
630,A18,1x diff 2x bxb1,10,0.01,10,+,kan,1,14,mScarlet,393.0
634,A18,1x diff 2x bxb1,10,0.01,10,+,kan,1,15,mScarlet,498.0
638,A18,1x diff 2x bxb1,10,0.01,10,+,kan,1,16,mScarlet,474.0
642,A19,1x diff 2x bxb1,10,0.01,50,+,carb,1,1,mScarlet,652.0
646,A19,1x diff 2x bxb1,10,0.01,50,+,carb,1,2,mScarlet,640.0
650,A19,1x diff 2x bxb1,10,0.01,50,+,carb,1,3,mScarlet,646.0
654,A19,1x diff 2x bxb1,10,0.01,50,+,carb,1,4,mScarlet,596.5
658,A19,1x diff 2x bxb1,10,0.01,50,+,carb,1,5,mScarlet,660.0
662,A19,1x diff 2x bxb1,10,0.01,50,+,carb,1,6,mScarlet,606.0
666,A19,1x diff 2x bxb1,10,0.01,50,+,carb,1,7,mScarlet,649.5
670,A19,1x diff 2x bxb1,10,0.01,50,+,carb,1,8,mScarlet,658.0
674,A19,1x diff 2x bxb1,10,0.01,50,+,carb,1,9,mScarlet,679.0
678,A19,1x diff 2x bxb1,10,0.01,50,+,carb,1,10,mScarlet,669.0
682,A19,1x diff 2x bxb1,10,0.01,50,+,carb,1,11,mScarlet,704.0
686,A19,1x diff 2x bxb1,10,0.01,50,+,carb,1,12,mScarlet,619.0
690,A19,1x diff 2x bxb1,10,0.01,50,+,carb,1,13,mScarlet,519.5
694,A19,1x diff 2x bxb1,10,0.01,50,+,carb,1,14,mScarlet,654.0
698,A19,1x diff 2x bxb1,10,0.01,50,+,carb,1,15,mScarlet,630.5
702,A19,1x diff 2x bxb1,10,0.01,50,+,carb,1,16,mScarlet,482.0
706,A2,1x diff 2x bxb1,10,0.01,10,-,kan,1,1,mScarlet,615.5
710,A2,1x diff 2x bxb1,10,0.01,10,-,kan,1,2,mScarlet,603.0
714,A2,1x diff 2x bxb1,10,0.01,10,-,kan,1,3,mScarlet,283.5
718,A2,1x diff 2x bxb1,10,0.01,10,-,kan,1,4,mScarlet,463.0
722,A2,1x diff 2x bxb1,10,0.01,10,-,kan,1,5,mScarlet,523.0
726,A2,1x diff 2x bxb1,10,0.01,10,-,kan,1,6,mScarlet,463.0
730,A2,1x diff 2x bxb1,10,0.01,10,-,kan,1,7,mScarlet,486.5
734,A2,1x diff 2x bxb1,10,0.01,10,-,kan,1,8,mScarlet,480.5
738,A2,1x diff 2x bxb1,10,0.01,10,-,kan,1,9,mScarlet,488.5
742,A2,1x diff 2x bxb1,10,0.01,10,-,kan,1,10,mScarlet,484.0
746,A2,1x diff 2x bxb1,10,0.01,10,-,kan,1,11,mScarlet,401.0
750,A2,1x diff 2x bxb1,10,0.01,10,-,kan,1,12,mScarlet,317.0
754,A2,1x diff 2x bxb1,10,0.01,10,-,kan,1,13,mScarlet,335.5
758,A2,1x diff 2x bxb1,10,0.01,10,-,kan,1,14,mScarlet,404.0
762,A2,1x diff 2x bxb1,10,0.01,10,-,kan,1,15,mScarlet,340.0
766,A2,1x diff 2x bxb1,10,0.01,10,-,kan,1,16,mScarlet,290.5
770,A20,1x diff 2x bxb1,10,0.01,50,+,kan,1,1,mScarlet,526.5
774,A20,1x diff 2x bxb1,10,0.01,50,+,kan,1,2,mScarlet,520.5
