,strain,sal,las,iptg,chlor,cole1,plate,measurement,std
284,1x diff 2x bxb1,20,0.01,10,+,kan,13,763.8125,26.558476586043625
285,1x diff 2x bxb1,20,0.01,10,+,kan,14,754.0,13.158375931050797
286,1x diff 2x bxb1,20,0.01,10,+,kan,15,814.4375,7.889584001345448
287,1x diff 2x bxb1,20,0.01,10,+,kan,16,526.0625,23.21396977806988
288,1x diff 2x bxb1,20,0.01,10,-,carb,1,510.1875,23.004560883193825
289,1x diff 2x bxb1,20,0.01,10,-,carb,2,184.25,18.516401995451027
290,1x diff 2x bxb1,20,0.01,10,-,carb,3,71.3125,16.621710200818686
291,1x diff 2x bxb1,20,0.01,10,-,carb,4,44.5625,17.636078078756626
292,1x diff 2x bxb1,20,0.01,10,-,carb,5,64.5,37.808729150819126
293,1x diff 2x bxb1,20,0.01,10,-,carb,6,66.5625,47.1785646696221
294,1x diff 2x bxb1,20,0.01,10,-,carb,7,115.4375,84.65325810116735
295,1x diff 2x bxb1,20,0.01,10,-,carb,8,172.5625,91.4757725536424
296,1x diff 2x bxb1,20,0.01,10,-,carb,9,313.4375,59.338278117923174
297,1x diff 2x bxb1,20,0.01,10,-,carb,10,391.0,38.560712797205554
298,1x diff 2x bxb1,20,0.01,10,-,carb,11,495.5,51.53985974813226
299,1x diff 2x bxb1,20,0.01,10,-,carb,12,525.625,53.01465430830019
300,1x diff 2x bxb1,20,0.01,10,-,carb,13,489.1875,69.78740036711498
301,1x diff 2x bxb1,20,0.01,10,-,carb,14,619.25,64.86909896090744
302,1x diff 2x bxb1,20,0.01,10,-,carb,15,615.5,66.1351430243947
303,1x diff 2x bxb1,20,0.01,10,-,carb,16,576.4375,98.59203006763349
304,1x diff 2x bxb1,20,0.01,10,-,kan,1,407.6875,69.34177132147693
305,1x diff 2x bxb1,20,0.01,10,-,kan,2,266.6875,44.01942550089189
306,1x diff 2x bxb1,20,0.01,10,-,kan,3,143.1875,22.13906937649239
307,1x diff 2x bxb1,20,0.01,10,-,kan,4,143.0,26.590814740647353
308,1x diff 2x bxb1,20,0.01,10,-,kan,5,157.875,32.82067075139429
309,1x diff 2x bxb1,20,0.01,10,-,kan,6,156.0,16.856537519397545
310,1x diff 2x bxb1,20,0.01,10,-,kan,7,224.0625,8.537469933015451
311,1x diff 2x bxb1,20,0.01,10,-,kan,8,361.3125,44.44976096673637
312,1x diff 2x bxb1,20,0.01,10,-,kan,9,596.0,49.16807907575807
313,1x diff 2x bxb1,20,0.01,10,-,kan,10,616.75,45.848352517527054
314,1x diff 2x bxb1,20,0.01,10,-,kan,11,604.1875,48.524616359711096
315,1x diff 2x bxb1,20,0.01,10,-,kan,12,337.9375,29.23358819186294
316,1x diff 2x bxb1,20,0.01,10,-,kan,13,430.0625,25.75910033366849
317,1x diff 2x bxb1,20,0.01,10,-,kan,14,626.25,50.53923511208183
318,1x diff 2x bxb1,20,0.01,10,-,kan,15,608.0625,23.73429932156654
319,1x diff 2x bxb1,20,0.01,10,-,kan,16,594.125,28.649046356604213
320,1x diff 2x bxb1,20,0.01,50,+,carb,1,405.5,38.69293032509759
321,1x diff 2x bxb1,20,0.01,50,+,carb,2,413.0625,17.60770427966122
322,1x diff 2x bxb1,20,0.01,50,+,carb,3,373.6875,15.768271714336448
323,1x diff 2x bxb1,20,0.01,50,+,carb,4,287.75,9.565563234854498
324,1x diff 2x bxb1,20,0.01,50,+,carb,5,348.75,27.60822858704062
325,1x diff 2x bxb1,20,0.01,50,+,carb,6,290.0625,15.976405594322076
326,1x diff 2x bxb1,20,0.01,50,+,carb,7,383.75,27.6457178290909
327,1x diff 2x bxb1,20,0.01,50,+,carb,8,415.375,30.829890412668398
328,1x diff 2x bxb1,20,0.01,50,+,carb,9,415.1875,59.40114086205991
329,1x diff 2x bxb1,20,0.01,50,+,carb,10,413.0,73.517733526389
330,1x diff 2x bxb1,20,0.01,50,+,carb,11,618.4375,121.68913483016587
331,1x diff 2x bxb1,20,0.01,50,+,carb,12,737.125,82.88363184954814
