,strain,sal,las,iptg,chlor,cole1,plate,measurement,std
98,1x diff 2x bxb1,10,0.01,50,-,carb,3,1.3930000000000002,0.01302744356020348
99,1x diff 2x bxb1,10,0.01,50,-,carb,4,1.3950624999999999,0.019520021772528803
100,1x diff 2x bxb1,10,0.01,50,-,carb,5,1.3841875,0.0136065569802629
101,1x diff 2x bxb1,10,0.01,50,-,carb,6,1.3908749999999999,0.01331151488642168
102,1x diff 2x bxb1,10,0.01,50,-,carb,7,1.3865625,0.011733461004446059
103,1x diff 2x bxb1,10,0.01,50,-,carb,8,1.4094375000000001,0.01397813982106136
104,1x diff 2x bxb1,10,0.01,50,-,carb,9,1.4629375000000002,0.012272028298998835
105,1x diff 2x bxb1,10,0.01,50,-,carb,10,1.4648749999999997,0.014232131654413968
106,1x diff 2x bxb1,10,0.01,50,-,carb,11,1.4559375,0.015017697892819742
107,1x diff 2x bxb1,10,0.01,50,-,carb,12,1.46475,0.01612894470022327
108,1x diff 2x bxb1,10,0.01,50,-,carb,13,1.4701875000000002,0.022909663432085312
109,1x diff 2x bxb1,10,0.01,50,-,carb,14,1.476875,0.011897628815380519
110,1x diff 2x bxb1,10,0.01,50,-,carb,15,1.4495625,0.014198685804377437
111,1x diff 2x bxb1,10,0.01,50,-,carb,16,1.46325,0.02137922890497765
112,1x diff 2x bxb1,10,0.01,50,-,kan,1,1.3471875000000002,0.01263198180356963
113,1x diff 2x bxb1,10,0.01,50,-,kan,2,1.3443125,0.014589471497330852
114,1x diff 2x bxb1,10,0.01,50,-,kan,3,1.245625,0.05584592963809325
115,1x diff 2x bxb1,10,0.01,50,-,kan,4,1.367375,0.021023371348504856
116,1x diff 2x bxb1,10,0.01,50,-,kan,5,1.3681249999999998,0.0093798796824448
117,1x diff 2x bxb1,10,0.01,50,-,kan,6,1.3580625000000002,0.01134975613331466
118,1x diff 2x bxb1,10,0.01,50,-,kan,7,1.3541249999999998,0.019460124063618685
119,1x diff 2x bxb1,10,0.01,50,-,kan,8,1.3635624999999998,0.011638720781450632
120,1x diff 2x bxb1,10,0.01,50,-,kan,9,1.436,0.009695359714832635
121,1x diff 2x bxb1,10,0.01,50,-,kan,10,1.4355625,0.00897392054789877
122,1x diff 2x bxb1,10,0.01,50,-,kan,11,1.4237499999999998,0.010285218242006967
123,1x diff 2x bxb1,10,0.01,50,-,kan,12,1.21725,0.025313745560183534
124,1x diff 2x bxb1,10,0.01,50,-,kan,13,1.43825,0.014892471731909232
125,1x diff 2x bxb1,10,0.01,50,-,kan,14,1.4235625,0.009076805212030428
126,1x diff 2x bxb1,10,0.01,50,-,kan,15,1.408625,0.008206051773799992
127,1x diff 2x bxb1,10,0.01,50,-,kan,16,1.4480625,0.007830514943840792
128,1x diff 2x bxb1,15,0.01,10,+,carb,1,1.3173124999999999,0.011949110845581864
129,1x diff 2x bxb1,15,0.01,10,+,carb,2,1.2951875,0.014007491618008272
130,1x diff 2x bxb1,15,0.01,10,+,carb,3,1.3384375000000002,0.01496051350340999
131,1x diff 2x bxb1,15,0.01,10,+,carb,4,1.3190625,0.01883848170254551
132,1x diff 2x bxb1,15,0.01,10,+,carb,5,1.3211875000000002,0.013603931942115744
133,1x diff 2x bxb1,15,0.01,10,+,carb,6,1.33475,0.012247448713915856
134,1x diff 2x bxb1,15,0.01,10,+,carb,7,1.326625,0.016205708870641867
135,1x diff 2x bxb1,15,0.01,10,+,carb,8,1.3201874999999998,0.024068262297058513
136,1x diff 2x bxb1,15,0.01,10,+,carb,9,1.392,0.012900719802730717
137,1x diff 2x bxb1,15,0.01,10,+,carb,10,1.3991874999999998,0.018388539715190597
138,1x diff 2x bxb1,15,0.01,10,+,carb,11,1.3983750000000001,0.011590482548810736
139,1x diff 2x bxb1,15,0.01,10,+,carb,12,1.3850625,0.019062748827415883
140,1x diff 2x bxb1,15,0.01,10,+,carb,13,1.3571250000000001,0.021888924139847513
