well,strain,sal,las,iptg,chlor,cole1,rep
J7,split pir 2x bxb1,15,0.01,50,-,carb,2
K7,split pir 2x bxb1,15,0.01,50,-,carb,3
L7,split pir 2x bxb1,15,0.01,50,-,carb,4
M7,split pir 2x bxb1,15,0.01,50,-,carb,5
N7,split pir 2x bxb1,15,0.01,50,-,carb,6
O7,split pir 2x bxb1,15,0.01,50,-,carb,7
P7,split pir 2x bxb1,15,0.01,50,-,carb,8
I9,split pir 2x bxb1,20,0.01,10,-,carb,1
J9,split pir 2x bxb1,20,0.01,10,-,carb,2
K9,split pir 2x bxb1,20,0.01,10,-,carb,3
L9,split pir 2x bxb1,20,0.01,10,-,carb,4
M9,split pir 2x bxb1,20,0.01,10,-,carb,5
N9,split pir 2x bxb1,20,0.01,10,-,carb,6
O9,split pir 2x bxb1,20,0.01,10,-,carb,7
P9,split pir 2x bxb1,20,0.01,10,-,carb,8
I11,split pir 2x bxb1,20,0.01,50,-,carb,1
J11,split pir 2x bxb1,20,0.01,50,-,carb,2
K11,split pir 2x bxb1,20,0.01,50,-,carb,3
L11,split pir 2x bxb1,20,0.01,50,-,carb,4
M11,split pir 2x bxb1,20,0.01,50,-,carb,5
N11,split pir 2x bxb1,20,0.01,50,-,carb,6
O11,split pir 2x bxb1,20,0.01,50,-,carb,7
P11,split pir 2x bxb1,20,0.01,50,-,carb,8
I13,split pir 2x bxb1,30,0.01,10,-,carb,1
J13,split pir 2x bxb1,30,0.01,10,-,carb,2
K13,split pir 2x bxb1,30,0.01,10,-,carb,3
L13,split pir 2x bxb1,30,0.01,10,-,carb,4
M13,split pir 2x bxb1,30,0.01,10,-,carb,5
N13,split pir 2x bxb1,30,0.01,10,-,carb,6
O13,split pir 2x bxb1,30,0.01,10,-,carb,7
P13,split pir 2x bxb1,30,0.01,10,-,carb,8
I15,split pir 2x bxb1,30,0.01,50,-,carb,1
J15,split pir 2x bxb1,30,0.01,50,-,carb,2
K15,split pir 2x bxb1,30,0.01,50,-,carb,3
L15,split pir 2x bxb1,30,0.01,50,-,carb,4
M15,split pir 2x bxb1,30,0.01,50,-,carb,5
N15,split pir 2x bxb1,30,0.01,50,-,carb,6
O15,split pir 2x bxb1,30,0.01,50,-,carb,7
P15,split pir 2x bxb1,30,0.01,50,-,carb,8
I17,split pir 2x bxb1,10,0.01,10,+,carb,1
J17,split pir 2x bxb1,10,0.01,10,+,carb,2
K17,split pir 2x bxb1,10,0.01,10,+,carb,3
L17,split pir 2x bxb1,10,0.01,10,+,carb,4
M17,split pir 2x bxb1,10,0.01,10,+,carb,5
N17,split pir 2x bxb1,10,0.01,10,+,carb,6
O17,split pir 2x bxb1,10,0.01,10,+,carb,7
P17,split pir 2x bxb1,10,0.01,10,+,carb,8
I19,split pir 2x bxb1,10,0.01,50,+,carb,1
J19,split pir 2x bxb1,10,0.01,50,+,carb,2
K19,split pir 2x bxb1,10,0.01,50,+,carb,3
L19,split pir 2x bxb1,10,0.01,50,+,carb,4
M19,split pir 2x bxb1,10,0.01,50,+,carb,5
N19,split pir 2x bxb1,10,0.01,50,+,carb,6
O19,split pir 2x bxb1,10,0.01,50,+,carb,7
P19,split pir 2x bxb1,10,0.01,50,+,carb,8
I21,split pir 2x bxb1,15,0.01,10,+,carb,1
J21,split pir 2x bxb1,15,0.01,10,+,carb,2
K21,split pir 2x bxb1,15,0.01,10,+,carb,3
L21,split pir 2x bxb1,15,0.01,10,+,carb,4
M21,split pir 2x bxb1,15,0.01,10,+,carb,5
N21,split pir 2x bxb1,15,0.01,10,+,carb,6
O21,split pir 2x bxb1,15,0.01,10,+,carb,7
P21,split pir 2x bxb1,15,0.01,10,+,carb,8
I23,split pir 2x bxb1,15,0.01,50,+,carb,1
J23,split pir 2x bxb1,15,0.01,50,+,carb,2
K23,split pir 2x bxb1,15,0.01,50,+,carb,3
L23,split pir 2x bxb1,15,0.01,50,+,carb,4
M23,split pir 2x bxb1,15,0.01,50,+,carb,5
N23,split pir 2x bxb1,15,0.01,50,+,carb,6
O23,split pir 2x bxb1,15,0.01,50,+,carb,7
P23,split pir 2x bxb1,15,0.01,50,+,carb,8
A2,1x diff 2x bxb1,10,0.01,10,-,kan,1
B2,1x diff 2x bxb1,10,0.01,10,-,kan,2
C2,1x diff 2x bxb1,10,0.01,10,-,kan,3
D2,1x diff 2x bxb1,10,0.01,10,-,kan,4
E2,1x diff 2x bxb1,10,0.01,10,-,kan,5
F2,1x diff 2x bxb1,10,0.01,10,-,kan,6
G2,1x diff 2x bxb1,10,0.01,10,-,kan,7
H2,1x diff 2x bxb1,10,0.01,10,-,kan,8
A4,1x diff 2x bxb1,10,0.01,50,-,kan,1
B4,1x diff 2x bxb1,10,0.01,50,-,kan,2
C4,1x diff 2x bxb1,10,0.01,50,-,kan,3
D4,1x diff 2x bxb1,10,0.01,50,-,kan,4
E4,1x diff 2x bxb1,10,0.01,50,-,kan,5
F4,1x diff 2x bxb1,10,0.01,50,-,kan,6
G4,1x diff 2x bxb1,10,0.01,50,-,kan,7
H4,1x diff 2x bxb1,10,0.01,50,-,kan,8
A6,1x diff 2x bxb1,15,0.01,10,-,kan,1
B6,1x diff 2x bxb1,15,0.01,10,-,kan,2
C6,1x diff 2x bxb1,15,0.01,10,-,kan,3
D6,1x diff 2x bxb1,15,0.01,10,-,kan,4
E6,1x diff 2x bxb1,15,0.01,10,-,kan,5
F6,1x diff 2x bxb1,15,0.01,10,-,kan,6
G6,1x diff 2x bxb1,15,0.01,10,-,kan,7
H6,1x diff 2x bxb1,15,0.01,10,-,kan,8
A8,1x diff 2x bxb1,15,0.01,50,-,kan,1
B8,1x diff 2x bxb1,15,0.01,50,-,kan,2
C8,1x diff 2x bxb1,15,0.01,50,-,kan,3
D8,1x diff 2x bxb1,15,0.01,50,-,kan,4
E8,1x diff 2x bxb1,15,0.01,50,-,kan,5
F8,1x diff 2x bxb1,15,0.01,50,-,kan,6
G8,1x diff 2x bxb1,15,0.01,50,-,kan,7
H8,1x diff 2x bxb1,15,0.01,50,-,kan,8
A10,1x diff 2x bxb1,20,0.01,10,-,kan,1
B10,1x diff 2x bxb1,20,0.01,10,-,kan,2
C10,1x diff 2x bxb1,20,0.01,10,-,kan,3
D10,1x diff 2x bxb1,20,0.01,10,-,kan,4
E10,1x diff 2x bxb1,20,0.01,10,-,kan,5
F10,1x diff 2x bxb1,20,0.01,10,-,kan,6
G10,1x diff 2x bxb1,20,0.01,10,-,kan,7
H10,1x diff 2x bxb1,20,0.01,10,-,kan,8
A12,1x diff 2x bxb1,20,0.01,50,-,kan,1
B12,1x diff 2x bxb1,20,0.01,50,-,kan,2
C12,1x diff 2x bxb1,20,0.01,50,-,kan,3
D12,1x diff 2x bxb1,20,0.01,50,-,kan,4
E12,1x diff 2x bxb1,20,0.01,50,-,kan,5
F12,1x diff 2x bxb1,20,0.01,50,-,kan,6
G12,1x diff 2x bxb1,20,0.01,50,-,kan,7
H12,1x diff 2x bxb1,20,0.01,50,-,kan,8
A14,1x diff 2x bxb1,30,0.01,10,-,kan,1
B14,1x diff 2x bxb1,30,0.01,10,-,kan,2
C14,1x diff 2x bxb1,30,0.01,10,-,kan,3
D14,1x diff 2x bxb1,30,0.01,10,-,kan,4
E14,1x diff 2x bxb1,30,0.01,10,-,kan,5
F14,1x diff 2x bxb1,30,0.01,10,-,kan,6
G14,1x diff 2x bxb1,30,0.01,10,-,kan,7
H14,1x diff 2x bxb1,30,0.01,10,-,kan,8
A16,1x diff 2x bxb1,30,0.01,50,-,kan,1
B16,1x diff 2x bxb1,30,0.01,50,-,kan,2
C16,1x diff 2x bxb1,30,0.01,50,-,kan,3
D16,1x diff 2x bxb1,30,0.01,50,-,kan,4
E16,1x diff 2x bxb1,30,0.01,50,-,kan,5
F16,1x diff 2x bxb1,30,0.01,50,-,kan,6
G16,1x diff 2x bxb1,30,0.01,50,-,kan,7
H16,1x diff 2x bxb1,30,0.01,50,-,kan,8
A18,1x diff 2x bxb1,10,0.01,10,+,kan,1
B18,1x diff 2x bxb1,10,0.01,10,+,kan,2
C18,1x diff 2x bxb1,10,0.01,10,+,kan,3
D18,1x diff 2x bxb1,10,0.01,10,+,kan,4
E18,1x diff 2x bxb1,10,0.01,10,+,kan,5
F18,1x diff 2x bxb1,10,0.01,10,+,kan,6
G18,1x diff 2x bxb1,10,0.01,10,+,kan,7
H18,1x diff 2x bxb1,10,0.01,10,+,kan,8
A20,1x diff 2x bxb1,10,0.01,50,+,kan,1
B20,1x diff 2x bxb1,10,0.01,50,+,kan,2
C20,1x diff 2x bxb1,10,0.01,50,+,kan,3
D20,1x diff 2x bxb1,10,0.01,50,+,kan,4
E20,1x diff 2x bxb1,10,0.01,50,+,kan,5
F20,1x diff 2x bxb1,10,0.01,50,+,kan,6
G20,1x diff 2x bxb1,10,0.01,50,+,kan,7
H20,1x diff 2x bxb1,10,0.01,50,+,kan,8
A22,1x diff 2x bxb1,15,0.01,10,+,kan,1
B22,1x diff 2x bxb1,15,0.01,10,+,kan,2
C22,1x diff 2x bxb1,15,0.01,10,+,kan,3
D22,1x diff 2x bxb1,15,0.01,10,+,kan,4
E22,1x diff 2x bxb1,15,0.01,10,+,kan,5
F22,1x diff 2x bxb1,15,0.01,10,+,kan,6
G22,1x diff 2x bxb1,15,0.01,10,+,kan,7
H22,1x diff 2x bxb1,15,0.01,10,+,kan,8
A24,1x diff 2x bxb1,15,0.01,50,+,kan,1
B24,1x diff 2x bxb1,15,0.01,50,+,kan,2
C24,1x diff 2x bxb1,15,0.01,50,+,kan,3
D24,1x diff 2x bxb1,15,0.01,50,+,kan,4
E24,1x diff 2x bxb1,15,0.01,50,+,kan,5
F24,1x diff 2x bxb1,15,0.01,50,+,kan,6
G24,1x diff 2x bxb1,15,0.01,50,+,kan,7
H24,1x diff 2x bxb1,15,0.01,50,+,kan,8
I2,split pir 2x bxb1,10,0.01,10,-,kan,1
J2,split pir 2x bxb1,10,0.01,10,-,kan,2
K2,split pir 2x bxb1,10,0.01,10,-,kan,3
L2,split pir 2x bxb1,10,0.01,10,-,kan,4
M2,split pir 2x bxb1,10,0.01,10,-,kan,5
N2,split pir 2x bxb1,10,0.01,10,-,kan,6
O2,split pir 2x bxb1,10,0.01,10,-,kan,7
P2,split pir 2x bxb1,10,0.01,10,-,kan,8
I4,split pir 2x bxb1,10,0.01,50,-,kan,1
J4,split pir 2x bxb1,10,0.01,50,-,kan,2
K4,split pir 2x bxb1,10,0.01,50,-,kan,3
L4,split pir 2x bxb1,10,0.01,50,-,kan,4
M4,split pir 2x bxb1,10,0.01,50,-,kan,5
N4,split pir 2x bxb1,10,0.01,50,-,kan,6
O4,split pir 2x bxb1,10,0.01,50,-,kan,7
P4,split pir 2x bxb1,10,0.01,50,-,kan,8
I6,split pir 2x bxb1,15,0.01,10,-,kan,1
J6,split pir 2x bxb1,15,0.01,10,-,kan,2
K6,split pir 2x bxb1,15,0.01,10,-,kan,3
L6,split pir 2x bxb1,15,0.01,10,-,kan,4
M6,split pir 2x bxb1,15,0.01,10,-,kan,5
N6,split pir 2x bxb1,15,0.01,10,-,kan,6
O6,split pir 2x bxb1,15,0.01,10,-,kan,7
P6,split pir 2x bxb1,15,0.01,10,-,kan,8
I8,split pir 2x bxb1,15,0.01,50,-,kan,1
J8,split pir 2x bxb1,15,0.01,50,-,kan,2
K8,split pir 2x bxb1,15,0.01,50,-,kan,3
L8,split pir 2x bxb1,15,0.01,50,-,kan,4
M8,split pir 2x bxb1,15,0.01,50,-,kan,5
N8,split pir 2x bxb1,15,0.01,50,-,kan,6
O8,split pir 2x bxb1,15,0.01,50,-,kan,7
P8,split pir 2x bxb1,15,0.01,50,-,kan,8
I10,split pir 2x bxb1,20,0.01,10,-,kan,1
J10,split pir 2x bxb1,20,0.01,10,-,kan,2
K10,split pir 2x bxb1,20,0.01,10,-,kan,3
L10,split pir 2x bxb1,20,0.01,10,-,kan,4
M10,split pir 2x bxb1,20,0.01,10,-,kan,5
N10,split pir 2x bxb1,20,0.01,10,-,kan,6
O10,split pir 2x bxb1,20,0.01,10,-,kan,7
P10,split pir 2x bxb1,20,0.01,10,-,kan,8
I12,split pir 2x bxb1,20,0.01,50,-,kan,1
J12,split pir 2x bxb1,20,0.01,50,-,kan,2
K12,split pir 2x bxb1,20,0.01,50,-,kan,3
L12,split pir 2x bxb1,20,0.01,50,-,kan,4
M12,split pir 2x bxb1,20,0.01,50,-,kan,5
N12,split pir 2x bxb1,20,0.01,50,-,kan,6
O12,split pir 2x bxb1,20,0.01,50,-,kan,7
P12,split pir 2x bxb1,20,0.01,50,-,kan,8
I14,split pir 2x bxb1,30,0.01,10,-,kan,1
J14,split pir 2x bxb1,30,0.01,10,-,kan,2
K14,split pir 2x bxb1,30,0.01,10,-,kan,3
L14,split pir 2x bxb1,30,0.01,10,-,kan,4
M14,split pir 2x bxb1,30,0.01,10,-,kan,5
N14,split pir 2x bxb1,30,0.01,10,-,kan,6
O14,split pir 2x bxb1,30,0.01,10,-,kan,7
P14,split pir 2x bxb1,30,0.01,10,-,kan,8
I16,split pir 2x bxb1,30,0.01,50,-,kan,1
J16,split pir 2x bxb1,30,0.01,50,-,kan,2
K16,split pir 2x bxb1,30,0.01,50,-,kan,3
L16,split pir 2x bxb1,30,0.01,50,-,kan,4
M16,split pir 2x bxb1,30,0.01,50,-,kan,5
N16,split pir 2x bxb1,30,0.01,50,-,kan,6
O16,split pir 2x bxb1,30,0.01,50,-,kan,7
P16,split pir 2x bxb1,30,0.01,50,-,kan,8
I18,split pir 2x bxb1,10,0.01,10,+,kan,1
J18,split pir 2x bxb1,10,0.01,10,+,kan,2
K18,split pir 2x bxb1,10,0.01,10,+,kan,3
L18,split pir 2x bxb1,10,0.01,10,+,kan,4
M18,split pir 2x bxb1,10,0.01,10,+,kan,5
N18,split pir 2x bxb1,10,0.01,10,+,kan,6
O18,split pir 2x bxb1,10,0.01,10,+,kan,7
P18,split pir 2x bxb1,10,0.01,10,+,kan,8
I20,split pir 2x bxb1,10,0.01,50,+,kan,1
J20,split pir 2x bxb1,10,0.01,50,+,kan,2
K20,split pir 2x bxb1,10,0.01,50,+,kan,3
L20,split pir 2x bxb1,10,0.01,50,+,kan,4
M20,split pir 2x bxb1,10,0.01,50,+,kan,5
N20,split pir 2x bxb1,10,0.01,50,+,kan,6
O20,split pir 2x bxb1,10,0.01,50,+,kan,7
P20,split pir 2x bxb1,10,0.01,50,+,kan,8
I22,split pir 2x bxb1,15,0.01,10,+,kan,1
J22,split pir 2x bxb1,15,0.01,10,+,kan,2
K22,split pir 2x bxb1,15,0.01,10,+,kan,3
L22,split pir 2x bxb1,15,0.01,10,+,kan,4
M22,split pir 2x bxb1,15,0.01,10,+,kan,5
N22,split pir 2x bxb1,15,0.01,10,+,kan,6
O22,split pir 2x bxb1,15,0.01,10,+,kan,7
P22,split pir 2x bxb1,15,0.01,10,+,kan,8
I24,split pir 2x bxb1,15,0.01,50,+,kan,1
J24,split pir 2x bxb1,15,0.01,50,+,kan,2
K24,split pir 2x bxb1,15,0.01,50,+,kan,3
L24,split pir 2x bxb1,15,0.01,50,+,kan,4
M24,split pir 2x bxb1,15,0.01,50,+,kan,5
N24,split pir 2x bxb1,15,0.01,50,+,kan,6
O24,split pir 2x bxb1,15,0.01,50,+,kan,7
P24,split pir 2x bxb1,15,0.01,50,+,kan,8
