Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,cole1,carb,sal,rep,ChanStr
sfGFP,61,1044,0.29,B3,122,AFU,485,515,diff split T7RNAP,pT7 GFP,+,100,3,sfGFP61485515
sfGFP,61,1044,0.29,B4,119,AFU,485,515,diff split T7RNAP,pT7 GFP/pSal Bxb1,+,100,1,sfGFP61485515
sfGFP,61,1044,0.29,B5,124,AFU,485,515,diff split T7RNAP,pT7 GFP/pSal Bxb1,+,100,2,sfGFP61485515
sfGFP,61,1044,0.29,B6,111,AFU,485,515,diff split T7RNAP,pT7 GFP/pSal Bxb1,+,100,3,sfGFP61485515
sfGFP,61,1044,0.29,B7,109,AFU,485,515,diff FL T7RNAP 1,pT7 GFP,+,100,1,sfGFP61485515
sfGFP,61,1044,0.29,B8,113,AFU,485,515,diff FL T7RNAP 1,pT7 GFP,+,100,2,sfGFP61485515
sfGFP,61,1044,0.29,B9,110,AFU,485,515,diff FL T7RNAP 1,pT7 GFP,+,100,3,sfGFP61485515
sfGFP,61,1044,0.29,B10,112,AFU,485,515,diff FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,100,1,sfGFP61485515
sfGFP,61,1044,0.29,B11,115,AFU,485,515,diff FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,100,2,sfGFP61485515
sfGFP,61,1044,0.29,B12,119,AFU,485,515,diff FL T7RNAP 1,pT7 GFP/pSal Bxb1,+,100,3,sfGFP61485515
sfGFP,61,1044,0.29,C1,123,AFU,485,515,diff FL T7RNAP 2,pT7 GFP,+,0,1,sfGFP61485515
sfGFP,61,1044,0.29,C2,105,AFU,485,515,diff FL T7RNAP 2,pT7 GFP,+,0,2,sfGFP61485515
sfGFP,61,1044,0.29,C3,113,AFU,485,515,diff FL T7RNAP 2,pT7 GFP,+,0,3,sfGFP61485515
sfGFP,61,1044,0.29,C4,117,AFU,485,515,diff FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,0,1,sfGFP61485515
sfGFP,61,1044,0.29,C5,113,AFU,485,515,diff FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,0,2,sfGFP61485515
sfGFP,61,1044,0.29,C6,120,AFU,485,515,diff FL T7RNAP 2,pT7 GFP/pSal Bxb1,+,0,3,sfGFP61485515
sfGFP,61,1044,0.29,C7,111,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP,+,0,1,sfGFP61485515
sfGFP,61,1044,0.29,C8,119,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP,+,0,2,sfGFP61485515
sfGFP,61,1044,0.29,C9,104,AFU,485,515,diff T13m FL T7RNAP 1,pT7 GFP,+,0,3,sfGFP61485515
