channel,mode,excitation,emission,num_flashes,gain,time_sec,time_h,well,measurement,strain,chlor,sal,iptg,rep
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,C12,260.0,diff2X,-,20,50,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,D1,276.0,diff1X,-,30,10,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,D2,260.0,diff1X,-,30,10,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,D3,243.0,diff1X,-,30,10,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,D4,233.0,diff2X,-,30,10,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,D5,227.0,diff2X,-,30,10,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,D6,237.0,diff2X,-,30,10,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,D7,229.0,diff1X,-,30,50,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,D8,221.0,diff1X,-,30,50,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,D9,220.0,diff1X,-,30,50,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,D10,233.0,diff2X,-,30,50,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,D11,231.0,diff2X,-,30,50,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,D12,230.0,diff2X,-,30,50,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,E1,252.0,diff1X,+,0,10,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,E2,249.0,diff1X,+,0,10,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,E3,239.0,diff1X,+,0,10,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,E4,236.0,diff2X,+,0,10,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,E5,234.0,diff2X,+,0,10,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,E6,225.0,diff2X,+,0,10,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,E7,217.0,diff1X,+,0,50,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,E8,212.0,diff1X,+,0,50,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,E9,226.0,diff1X,+,0,50,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,E10,237.0,diff2X,+,0,50,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,E11,240.0,diff2X,+,0,50,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,E12,232.0,diff2X,+,0,50,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,F1,235.0,diff1X,+,10,10,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,F2,242.0,diff1X,+,10,10,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,F3,233.0,diff1X,+,10,10,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,F4,228.0,diff2X,+,10,10,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,F5,213.0,diff2X,+,10,10,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,F6,233.0,diff2X,+,10,10,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,F7,228.0,diff1X,+,10,50,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,F8,200.0,diff1X,+,10,50,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,F9,236.0,diff1X,+,10,50,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,F10,233.0,diff2X,+,10,50,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,F11,213.0,diff2X,+,10,50,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,F12,228.0,diff2X,+,10,50,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,G1,217.0,diff1X,+,20,10,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,G2,251.0,diff1X,+,20,10,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,G3,243.0,diff1X,+,20,10,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,G4,249.0,diff2X,+,20,10,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,G5,220.0,diff2X,+,20,10,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,G6,236.0,diff2X,+,20,10,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,G7,239.0,diff1X,+,20,50,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,G8,220.0,diff1X,+,20,50,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,G9,234.0,diff1X,+,20,50,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,G10,222.0,diff2X,+,20,50,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,G11,244.0,diff2X,+,20,50,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,G12,208.0,diff2X,+,20,50,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,H1,217.0,diff1X,+,30,10,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,H2,236.0,diff1X,+,30,10,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,H3,260.0,diff1X,+,30,10,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,H4,208.0,diff2X,+,30,10,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,H5,225.0,diff2X,+,30,10,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,H6,244.0,diff2X,+,30,10,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,H7,219.0,diff1X,+,30,50,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,H8,212.0,diff1X,+,30,50,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,H9,225.0,diff1X,+,30,50,3
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,H10,217.0,diff2X,+,30,50,1
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,H11,227.0,diff2X,+,30,50,2
mScarlet,Fluorescence Bottom Reading,565,595,20,140,0.0,0.0,H12,222.0,diff2X,+,30,50,3
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,A1,112.0,diff1X,-,0,10,1
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,A2,116.0,diff1X,-,0,10,2
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,A3,117.0,diff1X,-,0,10,3
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,A4,115.0,diff2X,-,0,10,1
GFP_1,Fluorescence Bottom Reading,485,515,20,80,0.0,0.0,A5,117.0,diff2X,-,0,10,2
